	cons	rand	q95	cat
NPR1	32	20.707	28.0	None
ARF6	9	20.168	28.0	None
ARF5	86	93.057	108.0	None
AP1M2	226	226.169	249.0	None
ARHGEF1	82	51.644	63.0	None
AP2A2	128	164.336	184.0	None
AP3B2	50	64.043	77.0	None
ANKRD7	307	239.753	263.0	None
ANK2	0	0.0	0.0	None
ATP13A3	59	61.266	74.0	None
ATP2B3	24	18.977	26.0	None
ARPP19	46	48.722	60.0	None
ARMCX6	424	228.388	251.0	None
ATXN3	0	0.0	0.0	None
CNTD1	344	210.11	232.0	None
CLEC1B	71	80.801	96.0	None
COX7B	0	0.0	0.0	None
XRCC6BP1	48	51.165	63.0	None
BARHL2	65	30.587	40.0	None
BRD1	0	0.0	0.0	None
BRPF3	0	0.0	0.0	None
BST1	54	37.721	47.0	None
BICD2	92	102.607	120.0	None
BCL10	0	0.0	0.0	None
B3GNT6	73	38.334	49.0	None
BNIPL	136	145.741	163.04999999999995	None
CBR4	332	262.265	288.0	None
CARTPT	29	37.48	48.0	None
CAPRIN2	0	0.0	0.0	None
CRYGN	17	19.013	26.0	None
DDN	393	222.694	247.0	None
DENND4B	0	0.0	0.0	None
DENND5B	292	167.487	188.0	None
DYNC2LI1	0	0.0	0.0	None
DMRT2	0	0.0	0.0	None
DHX57	16	25.901	34.0	None
DLX3	0	0.0	0.0	None
DNAL4	0	0.0	0.0	None
DERL3	134	107.975	124.04999999999995	None
EPB41L5	0	0.0	0.0	None
DSC3	44	72.691	86.0	None
POLE3	0	0.0	0.0	None
DRG1	40	34.76	44.0	None
EIF2AK4	67	67.895	81.0	None
DYNC1H1	23	33.163	43.0	None
DEPTOR	60	65.25	78.0	None
ABL1	68	55.925	68.0	None
SH3BP2	234	194.157	216.0	None
ACAP2	0	0.0	0.0	None
PRKAB1	22	12.449	18.0	None
HTR7	95	82.178	95.0	None
PGLS	256	266.766	293.0	None
ACHE	72	64.656	78.0	None
ALDH9A1	260	199.135	220.0	None
AGTR1	0	0.0	0.0	None
ACSL5	0	0.0	0.0	None
ACTN1	167	160.0	181.0	None
APBA1	0	0.0	0.0	None
ANKRD53	0	0.0	0.0	None
CLDN15	97	95.615	111.0	None
ASH1L	149	122.748	139.0	None
ATP8B3	215	116.352	133.0	None
BLVRA	183	116.61	133.0	None
BLOC1S4	253	201.569	222.0	None
B3GALNT1	0	0.0	0.0	None
BPIFB1	508	343.829	371.0	None
BCS1L	69	82.224	97.0	None
CDC42EP3	110	103.244	119.0	None
ZNHIT6	35	24.628	33.0	None
CTSZ	283	171.381	192.0	None
BANF2	40	32.21	41.0	None
SERPINA6	87	57.754	70.0	None
PTRF	0	0.0	0.0	None
CCDC22	0	0.0	0.0	None
CPA3	0	0.0	0.0	None
GATSL2	107	117.0	133.0	None
CCDC85C	29	15.157	22.0	None
CARD10	53	42.551	52.0	None
CAGE1	81	75.948	90.0	None
CBLN1	0	0.0	0.0	None
CEBPG	60	59.532	72.0	None
CGNL1	0	0.0	0.0	None
CELF4	88	68.027	81.04999999999995	None
CHAMP1	198	123.659	141.0	None
NOV	0	0.0	0.0	None
CLPX	344	245.704	270.04999999999995	None
NCAPG	47	71.487	85.0	None
CKS1B	142	131.168	149.0	None
CLN8	103	121.609	139.0	None
CNIH3	95	77.329	92.0	None
CLCNKB	0	0.0	0.0	None
CNOT10	99	87.459	101.0	None
CMTR1	30	26.779	35.0	None
CPLX1	0	0.0	0.0	None
CYP2U1	205	138.309	156.0	None
COPS7A	69	66.888	79.0	None
CRELD1	205	187.157	208.0	None
CUL3	0	0.0	0.0	None
CUL4B	31	27.1	35.049999999999955	None
DDX55	0	0.0	0.0	None
DCAF15	0	0.0	0.0	ub
DYNC1I2	107	97.502	113.0	None
DEXI	86	80.676	95.0	None
DMRT3	42	38.541	49.0	None
GLUD1	147	68.555	81.0	None
HSD17B13	84	39.847	50.0	None
DIS3L	0	0.0	0.0	None
DAGLB	15	17.502	25.0	None
DGAT2	244	183.363	204.0	None
ECI2	0	0.0	0.0	None
SLC1A6	58	28.974	37.0	None
DSCAML1	379	250.576	274.0	None
DYNLL2	0	0.0	0.0	None
DBH	0	0.0	0.0	None
DPH5	105	86.587	101.0	None
DRP2	111	122.391	139.0	None
DPY30	0	0.0	0.0	None
DPYSL3	0	0.0	0.0	None
DUSP26	0	0.0	0.0	None
DUPD1	34	28.419	37.0	None
EMC3	20	17.391	24.0	None
ENO1	30	42.427	53.0	None
F11	33	14.545	21.0	None
FAM186B	0	0.0	0.0	None
NT5C1B	66	81.106	95.0	None
ALDH3A2	13	40.57	50.0	None
ADAM2	81	115.447	132.0	None
ADAM29	41	64.326	77.04999999999995	None
ACTR1B	153	133.192	151.0	None
ACTBL2	0	0.0	0.0	None
APBA2	0	0.0	0.0	None
APC	414	280.669	305.0	ub
AP1AR	21	43.516	54.0	None
ARHGEF2	48	55.253	68.0	None
AP1S2	103	81.699	96.0	None
ASB17	0	0.0	0.0	None
CLDN19	0	0.0	0.0	None
BHLHB9	0	0.0	0.0	None
BBS4	26	54.427	66.0	None
BEND6	0	0.0	0.0	None
BDNF	86	65.149	78.04999999999995	None
BMP6	0	0.0	0.0	None
BCL9L	0	0.0	0.0	None
BMP15	118	122.859	140.0	None
BACE2	28	20.781	28.0	None
BMP4	0	0.0	0.0	None
BAD	0	0.0	0.0	None
BCO2	18	37.188	47.0	None
CBX3	154	88.233	104.04999999999995	None
CCDC110	137	125.442	144.0	None
CAP1	139	147.517	165.0	None
CAB39	0	0.0	0.0	None
CABS1	274	246.203	269.0	None
CCKAR	0	0.0	0.0	None
CAND2	94	54.173	66.0	None
CARD14	161	149.343	169.0	None
CA10	116	155.326	175.0	None
CEP170B	44	56.279	68.0	None
CARD11	21	21.228	29.0	None
CACUL1	42	51.864	64.0	None
CER1	291	237.176	259.04999999999995	None
CEACAM1	108	113.704	129.0	None
CFD	39	39.35	50.0	None
CDCP2	162	124.644	143.04999999999995	None
CELSR3	222	164.037	184.0	None
TESC	0	0.0	0.0	None
CCR8	55	63.055	76.0	None
CCR5	134	91.461	106.0	None
CHORDC1	3	8.714	14.0	chap
CDC5L	109	103.921	120.0	None
CISD2	0	0.0	0.0	None
CNIH4	60	91.558	107.0	None
COMP	0	0.0	0.0	None
CREB3L3	53	80.473	94.0	None
CORO1A	0	0.0	0.0	None
CRCT1	79	80.523	95.0	None
COX7C	125	100.882	116.0	None
COX17	0	0.0	0.0	None
GJB3	0	0.0	0.0	None
GJC1	0	0.0	0.0	None
DEFB1	73	34.468	44.0	None
DCSTAMP	21	14.705	21.0	None
DCXR	83	62.649	75.0	None
DPY19L1	75	90.237	104.04999999999995	None
DENND2C	0	0.0	0.0	None
DNAJC5	268	211.377	233.0	chap
DNAJC28	0	0.0	0.0	chap
DMRTB1	0	0.0	0.0	None
DIP2B	201	171.203	192.0	None
DGKI	534	318.252	346.0	None
DLG1	121	98.737	115.0	None
DEPDC5	100	61.14	73.0	None
DERA	0	0.0	0.0	None
ECHDC3	46	63.867	77.0	None
DVL3	433	302.544	327.0	None
IQCD	93	126.563	145.0	None
DNASE1L2	12	25.236	33.0	None
DOCK2	112	73.684	87.0	None
DUOXA1	0	0.0	0.0	None
DRD4	0	0.0	0.0	None
EMC6	0	0.0	0.0	None
EME1	24	30.383	39.0	None
ELAVL2	54	81.341	96.0	None
ELP2	0	0.0	0.0	None
EIF3E	57	33.398	43.0	None
FAF2	0	0.0	0.0	ub
FAM168A	0	0.0	0.0	None
FAHD2A	0	0.0	0.0	None
FAM120C	33	31.544	40.0	None
FAM149B1	34	33.685	43.0	None
RCE1	0	0.0	0.0	None
FAM118A	0	0.0	0.0	None
EXOSC7	0	0.0	0.0	None
EPM2AIP1	0	0.0	0.0	None
ACSBG2	44	39.942	50.0	None
HTR5A	0	0.0	0.0	None
AKR1B1	116	104.754	120.0	None
ALDH1A3	0	0.0	0.0	None
ADAL	32	75.581	89.0	None
AGPS	96	87.453	102.0	None
AEBP2	0	0.0	0.0	None
ARID3A	22	43.329	54.0	None
ANKRD17	0	0.0	0.0	None
ARL4D	21	36.359	47.0	None
ASAP1	83	60.411	73.0	None
ASB6	63	77.407	91.0	None
ASB3	108	96.726	111.04999999999995	ub
ATP2C2	70	26.086	35.0	None
ATP2A3	87	106.933	122.04999999999995	None
BIN1	128	120.685	138.0	None
BRK1	0	0.0	0.0	None
BSPRY	0	0.0	0.0	None
TMBIM6	97	83.884	98.0	None
B4GALNT2	0	0.0	0.0	None
BPI	165	98.16	114.0	None
HLCS	0	0.0	0.0	None
BCL2L13	25	16.335	24.0	None
BCL7C	53	60.801	74.0	None
B4GALNT4	223	159.297	180.0	None
KCTD13	221	196.812	218.0	ub
CCDC47	62	46.649	58.0	None
CAPN9	40	67.662	81.0	None
CACNG7	0	0.0	0.0	None
C2CD2	46	34.968	45.0	None
CDH15	23	32.115	41.0	None
CBLB	0	0.0	0.0	ub
CD69	44	52.029	64.0	None
CA5B	125	120.0	137.04999999999995	None
CD180	0	0.0	0.0	None
CHD7	58	50.962	63.0	None
CHMP7	11	14.282	21.0	None
CDK15	357	232.009	255.04999999999995	None
CCNK	0	0.0	0.0	None
CDK20	76	77.003	90.04999999999995	None
SLC25A13	0	0.0	0.0	None
CAMK2N2	0	0.0	0.0	None
CITED4	184	145.304	165.0	None
COL24A1	44	41.694	52.0	None
CYP2C9	71	40.993	51.0	None
COX8C	0	0.0	0.0	None
COX6A2	82	76.84	91.0	None
CXCR4	35	43.685	54.0	None
CTNNA2	68	62.595	75.0	None
DDX47	0	0.0	0.0	None
DDX21	10	17.928	25.0	None
DEGS2	0	0.0	0.0	None
DCAF5	0	0.0	0.0	None
DNAJC13	162	155.308	174.04999999999995	chap
HSD11B1	59	65.604	78.0	None
DGKK	0	0.0	0.0	None
DLGAP1	423	275.328	299.04999999999995	None
DLK2	0	0.0	0.0	None
DNAJC5G	156	164.78	184.0	chap
ECM1	0	0.0	0.0	None
EEF1A2	117	100.283	116.04999999999995	None
DYRK2	36	55.175	66.0	ub
DNASE1L1	0	0.0	0.0	None
DZANK1	78	76.997	91.0	None
DPM1	117	109.325	126.0	None
ELL3	113	111.603	128.0	None
EFCC1	0	0.0	0.0	None
ELOF1	0	0.0	0.0	None
ENC1	219	171.339	192.0	None
ENTPD2	0	0.0	0.0	None
EVI2B	161	133.444	151.0	None
FASTKD1	59	42.286	53.0	None
SERPINA1	0	0.0	0.0	None
ABTB1	65	60.842	73.0	None
ABHD11	45	43.419	55.0	None
ABI3	315	222.173	243.04999999999995	None
PPP2R2B	86	77.24	90.04999999999995	None
ABCF2	0	0.0	0.0	None
YWHAE	83	137.697	156.0	None
ACOX2	405	257.582	281.0	None
HTR3A	0	0.0	0.0	None
AAMP	0	0.0	0.0	None
ADH5	28	7.605	12.0	None
AKR1B10	0	0.0	0.0	None
ADD3	66	51.406	63.0	None
AASDHPPT	78	76.707	90.0	None
AFM	0	0.0	0.0	None
ZFYVE19	51	45.917	57.0	None
ARL5A	89	56.366	69.0	None
AP2A1	145	122.551	139.0	None
ANGPTL4	0	0.0	0.0	None
ANGEL1	41	30.095	39.0	None
ATF4	15	18.986	26.0	None
ASTN2	0	0.0	0.0	None
BIRC3	0	0.0	0.0	ub
BOD1L1	72	37.855	48.0	None
BMF	56	30.672	40.0	None
BOLL	64	51.603	64.0	None
BOD1	369	285.06	311.04999999999995	None
BMPER	101	115.631	131.04999999999995	None
BCAS1	37	56.165	68.0	None
BAIAP2	67	55.375	67.0	None
CALR	124	121.163	139.0	None
CCDC54	0	0.0	0.0	None
CAPZA1	29	51.53	63.0	None
CCDC115	107	118.738	136.0	None
CCDC57	86	70.396	84.0	None
CCDC90B	0	0.0	0.0	None
CABIN1	49	45.34	56.0	chap
CACNA1F	53	71.912	84.0	None
CDH24	96	97.436	113.0	None
CD99L2	0	0.0	0.0	None
CDH12	0	0.0	0.0	None
CA2	56	61.904	75.0	None
CD68	283	250.33	277.0	None
CD8A	0	0.0	0.0	None
CHD1L	0	0.0	0.0	None
CFAP20	0	0.0	0.0	None
CHST2	0	0.0	0.0	None
CHSY3	38	49.113	60.0	None
CHSY1	70	84.489	98.04999999999995	None
CCNI	2	9.957	15.0	None
CCNG1	0	0.0	0.0	None
CDADC1	0	0.0	0.0	None
CNDP1	83	73.244	87.0	None
CPSF3	120	67.691	81.0	None
KCNIP3	0	0.0	0.0	None
COX6C	0	0.0	0.0	None
SLC31A1	142	124.129	142.0	None
GJB6	87	73.219	87.0	None
CUBN	213	249.502	273.0	None
CUX1	112	107.086	123.0	None
CTCF	18	31.953	41.0	None
DCC	101	106.877	123.0	None
WDR92	0	0.0	0.0	None
DAW1	32	23.621	31.049999999999955	None
DGKQ	0	0.0	0.0	None
POLD3	0	0.0	0.0	None
POLL	335	209.049	230.0	None
EIF2AK2	310	288.026	312.0	None
EDC3	92	91.973	107.0	None
E2F1	90	72.27	86.0	None
EDNRA	0	0.0	0.0	None
APOBEC1	0	0.0	0.0	None
ABRA	61	58.487	70.0	None
APOBEC4	33	57.881	70.0	None
ACCSL	0	0.0	0.0	None
ARL14EPL	146	94.833	110.04999999999995	None
ABCA2	61	48.496	60.0	None
ABHD6	41	22.768	30.049999999999955	None
ATG16L2	0	0.0	0.0	None
ABCB5	185	158.859	179.0	None
ABCE1	39	49.144	61.0	None
ABCA13	78	72.992	86.0	None
ACACA	106	32.225	43.0	None
CHRNB4	21	21.147	28.0	None
ACSBG1	0	0.0	0.0	None
NT5C1A	174	115.705	133.0	None
AAK1	217	154.996	174.04999999999995	None
ALDOC	106	135.34	153.0	None
AKAP12	0	0.0	0.0	None
AKR1D1	39	39.241	50.0	None
ADRA2C	0	0.0	0.0	None
ACTG2	27	29.706	39.0	None
AFTPH	0	0.0	0.0	None
ACSL1	0	0.0	0.0	None
AEBP1	0	0.0	0.0	None
ACRBP	34	24.164	32.0	None
ANKRD37	0	0.0	0.0	None
ARMC6	0	0.0	0.0	None
ASB10	68	76.777	89.04999999999995	None
ATP8B4	151	102.863	119.0	None
ASIC3	19	28.007	37.0	None
BSN	142	102.264	118.0	None
BRS3	101	130.944	148.0	None
BCL6	38	57.138	69.0	None
BCCIP	0	0.0	0.0	None
BPNT1	0	0.0	0.0	None
CAB39L	56	50.658	63.0	None
CCDC113	202	127.029	144.0	None
CCDC152	65	99.187	114.0	None
C2CD3	70	68.778	82.0	None
CBLN2	62	72.91	86.0	None
CDS1	101	111.737	128.0	None
CEP128	276	202.236	224.0	None
CENPM	135	106.108	123.0	None
CENPW	42	52.369	63.049999999999955	None
CDKN1C	105	151.124	169.0	None
CELF2	0	0.0	0.0	None
CDCA7	0	0.0	0.0	None
CHDH	35	55.631	68.0	None
CCNE1	0	0.0	0.0	None
CDK2AP1	0	0.0	0.0	None
CHPF	125	87.457	102.0	None
CKAP2	0	0.0	0.0	None
CLK3	0	0.0	0.0	None
CLCN1	369	281.898	306.04999999999995	None
CLUAP1	0	0.0	0.0	None
CLDN7	121	84.333	99.0	None
COL4A6	0	0.0	0.0	None
COL11A2	0	0.0	0.0	None
CREBL2	41	61.645	74.0	None
CSNK2A2	0	0.0	0.0	None
CRYBB3	21	20.033	27.049999999999955	None
CRTC1	64	58.995	72.0	None
COL17A1	122	113.449	129.0	None
CREB3L2	0	0.0	0.0	None
CYP39A1	196	132.666	149.0	None
COPB2	0	0.0	0.0	None
CYP26A1	88	63.07	75.0	None
COX5A	234	174.821	195.0	None
CRHR2	49	41.72	52.0	None
CYTL1	123	123.258	139.0	None
CYFIP2	50	42.815	54.0	None
CTNNBL1	0	0.0	0.0	None
CTHRC1	412	272.831	298.0	None
DEDD2	120	93.152	108.0	None
DLX5	94	86.499	102.0	None
DGKG	54	57.956	70.0	None
ABLIM1	124	105.826	122.0	None
ABCB10	0	0.0	0.0	None
ABCB9	214	131.24	150.0	None
HSD3B7	0	0.0	0.0	None
CHRM2	0	0.0	0.0	None
SCG5	47	50.643	62.0	None
AKTIP	29	29.22	39.0	None
ALMS1	0	0.0	0.0	None
PAM	174	147.822	167.04999999999995	None
AMHR2	0	0.0	0.0	None
AGO2	90	83.142	97.0	None
ADH4	52	46.78	58.0	None
IGFALS	17	43.009	53.0	None
AMOTL1	117	55.213	68.0	None
ADAM9	157	104.809	120.0	None
ALG3	0	0.0	0.0	None
ACSM5	34	39.129	49.0	None
ANO1	0	0.0	0.0	None
ARAP1	0	0.0	0.0	None
APCDD1	97	58.203	70.0	None
ARAP2	50	46.966	58.0	None
ANKRD63	56	59.349	71.0	None
APMAP	262	233.279	257.0	None
AP3B1	125	115.564	133.0	None
APTX	0	0.0	0.0	None
APOA1	0	0.0	0.0	None
ANXA2	0	0.0	0.0	None
APOA5	101	46.754	58.0	None
ATF3	0	0.0	0.0	None
ASS1	58	58.651	71.0	None
ATL3	170	165.222	184.0	None
HSPA5	0	0.0	0.0	chap
BRSK2	42	39.525	50.0	None
BCOR	394	249.013	274.0	None
BAG3	21	21.16	28.0	chap
BCAT2	0	0.0	0.0	None
CTSC	0	0.0	0.0	None
CCDC126	0	0.0	0.0	None
CASS4	186	138.611	158.0	None
CCDC28B	0	0.0	0.0	None
CCDC173	0	0.0	0.0	None
CCDC160	0	0.0	0.0	None
CPE	0	0.0	0.0	None
CACNA1C	48	41.078	52.0	None
AGBL2	0	0.0	0.0	None
C1QL4	0	0.0	0.0	None
CDK5R2	22	11.952	18.0	None
CDCA7L	49	33.568	43.0	None
CDC37	112	105.613	122.0	chap
CKS2	62	47.694	59.0	None
CLIP2	86	84.168	99.0	None
CLK2	121	98.903	115.0	None
CSPG4	0	0.0	0.0	None
CPSF2	0	0.0	0.0	None
COL12A1	48	54.042	65.0	None
CREG1	16	29.461	38.0	None
SLC7A4	0	0.0	0.0	None
CATSPERB	0	0.0	0.0	None
CWC25	116	107.54	124.0	None
CSPP1	185	155.836	174.04999999999995	None
DDHD2	0	0.0	0.0	None
DDX41	0	0.0	0.0	None
DCLRE1B	179	132.816	151.0	None
DDX17	17	22.718	31.0	None
DBNDD2	0	0.0	0.0	None
DBNL	46	36.113	46.0	None
FAM45A	0	0.0	0.0	None
DAB2	0	0.0	0.0	None
DCAF4	63	57.939	69.0	ub
DKK3	0	0.0	0.0	None
DMXL1	76	51.138	63.0	None
DGAT1	0	0.0	0.0	None
CACYBP	0	0.0	0.0	chap
EPB41L4A	0	0.0	0.0	None
POLD1	542	314.098	340.0	None
DSC2	59	77.724	92.0	None
ECSIT	0	0.0	0.0	None
ECE1	406	279.929	305.0	None
ACIN1	126	101.732	119.0	None
ACD	17	19.968	27.049999999999955	None
ALX4	12	38.205	48.0	None
ALDH1A2	52	40.584	51.0	None
AKR1E2	49	38.987	50.0	None
ACYP2	0	0.0	0.0	None
ADM	225	168.019	188.04999999999995	None
PRMT7	38	25.139	33.0	None
PRMT3	0	0.0	0.0	None
ARF3	0	0.0	0.0	None
ARHGEF40	161	153.602	172.0	None
ARL13B	121	118.603	135.0	None
ANKHD1	110	112.384	130.0	None
AS3MT	6	8.042	13.0	None
ASRGL1	0	0.0	0.0	None
ASIP	144	143.36	162.0	None
ATP2B4	70	99.435	116.0	None
CLDN4	65	91.362	107.0	None
AXIN2	72	81.578	97.0	None
AUP1	122	106.114	122.0	None
ATMIN	81	85.148	99.04999999999995	None
BTBD10	34	32.985	43.0	None
BRI3BP	0	0.0	0.0	None
BLMH	0	0.0	0.0	None
BLM	45	52.659	65.0	None
BSX	128	110.451	127.0	None
BSND	244	154.013	172.0	None
BTN1A1	0	0.0	0.0	None
BNC1	0	0.0	0.0	None
KCTD10	116	135.971	154.0	ub
BCL9	118	148.57	167.0	None
BAG5	0	0.0	0.0	chap
CTSF	0	0.0	0.0	None
CBX5	314	231.483	256.0	None
CAPN8	26	33.985	44.0	None
CCIN	0	0.0	0.0	None
CAPG	82	89.968	104.0	None
CD163	318	213.799	235.0	None
CA1	20	23.215	31.0	None
CDH7	124	135.555	153.0	None
CDK5R1	0	0.0	0.0	None
CHMP4B	0	0.0	0.0	None
CHEK2	0	0.0	0.0	None
CDO1	36	44.028	55.0	None
CDKN1B	172	159.135	178.0	None
CHST3	65	87.021	102.0	None
CDKAL1	160	193.451	215.0	None
CELSR2	162	88.055	102.04999999999995	None
CENPA	22	18.752	26.0	None
CLMP	22	20.158	28.0	None
CD300LB	0	0.0	0.0	None
CMPK2	27	24.006	32.0	None
RCSD1	38	43.893	54.0	None
CLPS	0	0.0	0.0	None
COL25A1	0	0.0	0.0	None
EBF3	44	34.226	45.0	None
CXADR	0	0.0	0.0	None
CATSPER4	0	0.0	0.0	None
CTTNBP2	20	35.235	45.0	None
DCST2	0	0.0	0.0	None
DAZAP1	0	0.0	0.0	None
COPRS	107	122.352	140.0	None
GJB4	0	0.0	0.0	None
CUL9	67	62.277	75.0	None
DDX56	42	46.272	57.0	None
DENND1A	0	0.0	0.0	None
DSTN	0	0.0	0.0	None
DMXL2	0	0.0	0.0	None
DHX32	0	0.0	0.0	None
DHX29	0	0.0	0.0	None
HSD17B4	54	65.221	78.0	None
DYNLRB1	0	0.0	0.0	None
EIF2AK1	0	0.0	0.0	None
DPEP2	233	90.838	106.0	None
DPP9	282	175.15	195.0	None
ENPP7	0	0.0	0.0	None
ETS2	311	240.452	262.0	None
ELP4	0	0.0	0.0	None
FAM43B	0	0.0	0.0	None
FAM207A	110	115.813	132.0	None
EXOC6B	48	47.248	59.0	None
FAM222A	48	56.161	68.0	None
EYA1	131	115.227	132.0	None
EYA2	0	0.0	0.0	None
ETAA1	16	13.798	20.0	None
ERP44	0	0.0	0.0	None
FAM98B	27	42.395	53.049999999999955	None
EXO1	0	0.0	0.0	None
ERCC6L	60	52.94	65.0	None
EPN1	56	63.195	76.0	None
SQLE	8	15.211	22.0	None
FKBP10	0	0.0	0.0	None
EPYC	59	67.924	81.0	None
FMNL3	0	0.0	0.0	None
BTRC	32	30.287	39.0	ub
FBXO21	283	238.225	260.0	ub
FEV	0	0.0	0.0	None
FBXL8	0	0.0	0.0	None
FGGY	61	47.422	58.0	None
FEZF2	0	0.0	0.0	None
FGD2	0	0.0	0.0	None
FANCL	0	0.0	0.0	ub
G3BP2	67	56.946	69.0	None
FZD10	80	68.801	82.0	None
FXYD4	29	37.445	47.0	None
FOXRED1	53	51.179	62.0	None
FRMD6	177	183.005	204.0	None
FSBP	36	63.703	76.0	None
GDF1	61	50.511	62.0	None
GCNT7	0	0.0	0.0	None
GDF3	38	34.332	44.0	None
GNA11	41	42.597	53.0	None
GPC1	49	48.999	61.0	None
GPN1	101	82.332	97.0	None
GPR142	0	0.0	0.0	None
GORAB	0	0.0	0.0	None
GRB2	0	0.0	0.0	None
GPR162	0	0.0	0.0	None
GRM5	55	64.644	78.0	None
KIAA0355	0	0.0	0.0	None
HECTD1	136	79.082	94.0	ub
HELB	0	0.0	0.0	None
HTRA4	0	0.0	0.0	None
IGF1	0	0.0	0.0	None
IFT122	0	0.0	0.0	None
IGSF3	182	147.11	165.0	None
IL22RA1	0	0.0	0.0	None
IL21	0	0.0	0.0	None
IL1RN	33	39.001	49.0	None
IFT88	350	239.655	263.0	None
INTS10	127	117.414	135.0	None
INSR	0	0.0	0.0	None
KDM4C	27	32.59	42.0	None
KDM5C	54	48.494	60.0	None
KCTD2	52	18.69	26.0	None
KHNYN	0	0.0	0.0	None
KIF1C	36	34.724	44.049999999999955	None
CAMK2G	0	0.0	0.0	None
KCNJ1	196	139.968	159.0	None
KCNH8	0	0.0	0.0	None
KCNG1	0	0.0	0.0	None
KLF7	69	63.19	76.0	None
RPS6KA6	0	0.0	0.0	None
CALN1	35	33.597	43.0	None
CABLES1	93	78.894	93.0	None
CCDC102A	0	0.0	0.0	None
CACNA1E	204	158.866	178.0	None
CALCOCO1	0	0.0	0.0	None
CA14	0	0.0	0.0	None
UGT8	0	0.0	0.0	None
COQ4	27	28.048	36.0	None
CST9	31	43.861	55.0	None
CTNS	0	0.0	0.0	None
CTDSPL2	60	53.366	66.0	None
CUTC	0	0.0	0.0	None
HDC	0	0.0	0.0	None
DDX3X	82	122.474	140.0	None
DBNDD1	0	0.0	0.0	None
DENND1C	74	103.632	119.04999999999995	None
DESI2	0	0.0	0.0	None
DEFB113	0	0.0	0.0	None
DHH	13	18.449	26.0	None
DNAJB12	62	76.701	91.0	chap
QDPR	42	34.616	44.049999999999955	None
EHHADH	70	68.315	82.0	None
DYRK1A	0	0.0	0.0	None
DYRK1B	19	22.549	30.0	None
DPPA5	0	0.0	0.0	None
DNAH3	65	48.875	61.0	None
DOCK7	0	0.0	0.0	None
EMID1	69	83.795	97.0	None
ENTPD7	40	33.272	43.0	None
EGR4	49	44.163	55.0	None
ENPP1	40	38.435	48.0	None
FAM135B	149	132.788	152.0	None
FAM53C	57	69.185	82.0	None
FAM13C	0	0.0	0.0	None
FAM174B	46	36.662	47.0	None
ERAL1	0	0.0	0.0	None
FAM81A	121	77.838	92.0	None
ERBB2	21	19.276	27.0	None
FAM110B	0	0.0	0.0	None
EPS8L1	0	0.0	0.0	None
KDELR3	90	76.228	90.0	None
PROCR	249	163.522	183.0	None
FMO4	80	74.774	88.0	None
FLRT3	159	85.375	100.0	None
FCAMR	0	0.0	0.0	None
FCGR2A	0	0.0	0.0	None
FANK1	33	40.082	50.0	None
GPRASP2	72	84.105	99.0	None
FOXN1	0	0.0	0.0	None
FSHB	49	72.481	86.0	None
FRS3	44	54.249	66.0	None
GIGYF2	24	18.589	25.049999999999955	None
FXN	198	130.969	148.04999999999995	None
AMT	0	0.0	0.0	None
FOXD2	25	33.273	42.0	None
GPR82	0	0.0	0.0	None
GPR151	0	0.0	0.0	None
GRIPAP1	17	23.801	32.0	None
GLRA2	32	29.897	38.0	None
GPX4	21	12.019	18.0	None
GYS2	129	100.245	117.0	None
FECH	425	235.396	258.0	None
HIGD1C	109	98.738	113.0	None
KCNK1	89	84.748	99.0	None
KCNC2	169	135.048	153.0	None
LGI3	23	34.717	45.0	None
PRKD3	52	48.921	60.0	None
KL	74	85.675	100.0	None
KCNJ10	0	0.0	0.0	None
LDHC	0	0.0	0.0	None
LAD1	45	55.219	67.0	None
PRR16	0	0.0	0.0	None
LAS1L	77	81.303	95.0	None
ANKRD10	15	13.313	20.0	None
ARF1	0	0.0	0.0	None
APEX1	0	0.0	0.0	None
ARFGAP2	56	30.131	40.0	None
ARHGEF38	0	0.0	0.0	None
ARHGEF37	0	0.0	0.0	None
ARSI	67	66.749	80.0	None
ASAH2	101	97.243	114.0	None
BZW2	57	82.152	96.0	None
CYP11B1	35	49.659	61.0	None
CHAF1A	32	18.439	25.049999999999955	chap
CDKN2AIPNL	75	58.279	71.0	None
CADM3	22	30.55	40.0	None
C1D	0	0.0	0.0	None
HSPD1	13	17.308	24.0	chap
CARHSP1	0	0.0	0.0	None
CDK2AP2	63	47.469	59.0	None
CNBD1	35	49.527	61.0	None
CDHR5	0	0.0	0.0	None
NCAPD2	0	0.0	0.0	None
CRNKL1	98	67.388	80.0	chap
CX3CR1	102	104.972	122.0	None
CYSTM1	0	0.0	0.0	None
DCPS	60	82.969	98.0	None
DEFB116	28	24.606	33.0	None
DPY19L4	0	0.0	0.0	None
DHX16	0	0.0	0.0	None
DMRTA2	0	0.0	0.0	None
DHRS7C	0	0.0	0.0	None
POLA2	0	0.0	0.0	None
EBNA1BP2	148	165.641	185.0	None
EDN3	62	106.318	122.0	None
DRAM1	10	12.024	18.0	None
DNPH1	188	140.326	159.0	None
EEF1G	0	0.0	0.0	None
ELF5	0	0.0	0.0	None
PTK2B	0	0.0	0.0	None
FAM133B	51	48.505	59.0	None
FAM199X	0	0.0	0.0	None
FAM205A	93	78.923	94.0	None
FAM204A	42	75.663	90.0	None
FAM83A	378	264.615	287.0	None
FAH	87	89.037	104.0	None
ERBB4	26	30.287	39.0	None
