human	macaque	mouse
SOCS4	None	Socs4
HMCES	None	Hmces
SFRP4	None	Sfrp4
SERINC2	None	Serinc2
TMOD4	TMOD4	Tmod4
WBP4	WBP4	Wbp4
GPR1	GPR1	Gpr1
GALR2	GALR2	Galr2
STRAP	STRAP	Strap
SERPINB1	SERPINB1	Serpinb1a
DAPK2	None	Dapk2
GDPGP1	GDPGP1	Gdpgp1
F8A3	None	F8a
GNB4	GNB4	Gnb4
GPATCH4	GPATCH4	Gpatch4
SNX21	SNX21	Snx21
PTPN7	PTPN7	Ptpn7
MEI4	None	Mei4
HAPLN1	HAPLN1	Hapln1
UBAC1	UBAC1	Ubac1
FAM217B	FAM217B	Fam217b
HS3ST5	HS3ST5	Hs3st5
MRPL38	MRPL38	Mrpl38
GNB3	GNB3	Gnb3
ATP1B4	ATP1B4	Atp1b4
FIGF	None	Figf
HARBI1	HARBI1	Harbi1
HMGCLL1	HMGCLL1	Hmgcll1
ZNF367	ZNF367	Zfp367
EXO5	EXO5	Exo5
DAP3	DAP3	Dap3
FDXACB1	None	Fdxacb1
ERI3	ERI3	Eri3
NKX2-3	NKX2-3	Nkx2-3
HRH4	HRH4	Hrh4
BTNL8	BTNL8	None
GBX2	GBX2	Gbx2
SERPINB7	SERPINB7	Serpinb7
GNB1	GNB1	Gnb1
CHST10	CHST10	Chst10
RTCA	RTCA	None
GNB2	GNB2	Gnb2
IMPAD1	None	Impad1
GYG1	GYG1	Gyg
CYP2F1	None	Cyp2f2
ZADH2	ZADH2	Zadh2
G6PC	G6PC	G6pc
SSTR4	SSTR4	Sstr4
PLEK	PLEK	Plek
RASSF6	RASSF6	Rassf6
FAM105A	None	Fam105a
S1PR5	S1PR5	S1pr5
RILPL1	RILPL1	Rilpl1
SNRNP40	SNRNP40	Snrnp40
RDH10	RDH10	Rdh10
RNF146	RNF146	Rnf146
TEX13A	TEX13A	Tex13a
SPATA17	SPATA17	Spata17
SERPINA12	SERPINA12	Serpina12
KERA	KERA	Kera
HTR5A	HTR5A	Htr5a
HOXD10	HOXD10	Hoxd10
ZNF479	None	None
MSANTD4	MSANTD4	Msantd4
CHAD	CHAD	Chad
XKR9	XKR9	Xkr9
FAM76B	FAM76B	Fam76b
ZNF830	ZNF830	Zfp830
PRSS54	PRSS54	Prss54
UTS2R	UTS2R	Uts2r
PEX12	PEX12	Pex12
CD209	CD209	Cd209b
GPR6	GPR6	Gpr6
SASH3	SASH3	Sash3
G6PC3	G6PC3	G6pc3
INO80B	INO80B	Ino80b
CAAP1	CAAP1	Caap1
NIPA2	NIPA2	Nipa2
TTL	None	Ttl
SIRT6	SIRT6	Sirt6
SUMF1	SUMF1	Sumf1
TRIM54	TRIM54	Trim54
TRIB2	TRIB2	Trib2
ATP6V0D2	ATP6V0D2	Atp6v0d2
PRKX	None	Prkx
SH3GL2	SH3GL2	Sh3gl2
MTRF1L	MTRF1L	Mtrf1l
RNF34	RNF34	Rnf34
PDIK1L	PDIK1L	Pdik1l
ADPRHL2	None	Adprhl2
WISP3	None	Wisp3
LMAN2L	LMAN2L	Lman2l
MCAT	MCAT	Mcat
ZNF735	None	B020011L13Rik
SPATA6L	SPATA6L	None
NAA30	NAA30	Naa30
FOXE1	FOXE1	Foxe1
RRS1	RRS1	Rrs1
SH3GL1	SH3GL1	Sh3gl1
TWF1	TWF1	Twf1
MCIDAS	None	Mcidas
FOXI1	FOXI1	Foxi1
NPY4R	None	Npy4r
GJA5	GJA5	Gja5
TTLL9	TTLL9	Ttll9
EIF2B2	EIF2B2	Eif2b2
SCAMP1	SCAMP1	Scamp1
KHDRBS3	KHDRBS3	Khdrbs3
CDK7	CDK7	Cdk7
HSD3B2	HSD3B1	Hsd3b1
HYKK	None	Hykk
MTFR2	MTFR2	Mtfr2
CERS4	CERS4	Cers4
STYK1	STYK1	Styk1
CSNK1A1	CSNK1A1	Csnk1a1
GJA3	GJA3	Gja3
FBLIM1	FBLIM1	Fblim1
FBXO22	None	Fbxo22
NEUROD6	NEUROD6	Neurod6
ITGB1BP2	ITGB1BP2	Itgb1bp2
HMBS	HMBS	Hmbs
NDRG2	NDRG2	Ndrg2
GPD1L	GPD1L	Gpd1l
GBX1	GBX1	Gbx1
MTG2	MTG2	Mtg2
DLK1	DLK1	Dlk1
BRIX1	BRIX1	Brix1
ASPHD1	ASPHD1	Asphd1
WDR53	WDR53	Wdr53
DTX3	DTX3	Dtx3
SIRT3	SIRT3	Sirt3
FOXA3	FOXA3	Foxa3
TRIM63	TRIM63	Trim63
ALDH3B2	ALDH3B2	Aldh3b2
DCN	DCN	Dcn
KLHDC8A	KLHDC8A	Klhdc8a
WNT11	WNT11	Wnt11
SH3BP5L	None	Sh3bp5l
SUN5	SUN5	Sun5
TGDS	TGDS	Tgds
ACTRT3	ACTRT3	Actrt3
MGAT4D	None	Mgat4d
CX3CL1	CX3CL1	Cx3cl1
NEIL1	NEIL1	Neil1
HOMER3	HOMER3	Homer3
IST1	IST1	Ist1
PLEK2	PLEK2	Plek2
SYAP1	SYAP1	Syap1
HEXIM1	HEXIM1	Hexim1
RHO	RHO	Rho
ABHD13	ABHD13	Abhd13
C17orf96	None	None
MINPP1	None	Minpp1
RRM2B	RRM2B	Rrm2b
SERINC4	None	Serinc4
AGXT	AGXT	Agxt
FAM45A	FAM45A	Fam45a
PRKAR1B	None	Prkar1b
DNAJC25	GNG10	Dnajc25
HOXD13	HOXD13	Hoxd13
ZDHHC15	ZDHHC15	Zdhhc15
CTGF	CTGF	Ctgf
TAPBPL	TAPBPL	Tapbpl
NECAB1	NECAB1	Necab1
RFC4	RFC4	Rfc4
GNAO1	GNAO1	Gnao1
MCU	MCU	Mcu
GPR15	GPR15	Gpr15
NUDT13	NUDT13	Nudt13
TMEFF1	MSANTD3-TMEFF1	Tmeff1
ECI2	ECI2	Eci2
FUT10	None	Fut10
TSSC1	None	Tssc1
CRACR2B	None	Cracr2b
LIPJ	LIPJ	None
NAT16	NAT16	None
GTPBP10	GTPBP10	Gtpbp10
GBP4	None	Gbp3
PCGF6	PCGF6	Pcgf6
PVR	PVR	None
PGA5	PGA4	Cym
PGA3	None	None
TRIM64	None	None
CCR5	CCR5	Ccr5
CCNY	CCNY	Ccny
CCR6	CCR6	Ccr6
TM6SF1	TM6SF1	Tm6sf1
C14orf80	None	None
PTGER2	PTGER2	Ptger2
MAPK12	MAPK12	Mapk12
FCGRT	FCGRT	Fcgrt
AADAC	AADAC	Aadac
CRTAM	CRTAM	Crtam
CXCR4	CXCR4	Cxcr4
PRPH2	PRPH2	Prph2
KLF1	KLF1	Klf1
DHODH	DHODH	Dhodh
ZFYVE27	ZFYVE27	Zfyve27
GPR83	None	Gpr83
QKI	QKI	Qk
GALR1	GALR1	Galr1
HAUS4	HAUS4	Haus4
HSD3B7	HSD3B7	Hsd3b7
MKX	MKX	Mkx
ADIPOR2	ADIPOR2	Adipor2
SLC39A13	SLC39A13	Slc39a13
MAPKAPK3	MAPKAPK3	Mapkapk3
RNF2	RNF2	Rnf2
HAPLN3	HAPLN3	Hapln3
PTGR2	PTGR2	Ptgr2
HM13	HM13	H13
CIAO1	CIAO1	Ciao1
P2RY4	P2RY4	P2ry4
HDAC11	HDAC11	Hdac11
ATAT1	None	Atat1
ERLIN1	ERLIN1	Erlin1
ABI3	ABI3	Abi3
TEX9	TEX9	Tex9
GDF3	GDF3	Gdf3
APTX	APTX	Aptx
THUMPD1	THUMPD1	Thumpd1
SEH1L	None	Seh1l
APOA4	APOA4	Apoa4
KHDRBS2	KHDRBS2	Khdrbs2
NFATC2IP	NFATC2IP	Nfatc2ip
PNMA2	PNMA2	Pnma2
CAB39	CAB39	Cab39
ST8SIA6	ST8SIA6	St8sia6
CNTFR	CNTFR	Cntfr
ACTRT2	ACTRT2	Actrt2
PTX3	PTX3	Ptx3
WDR31	WDR31	Wdr31
DNAJB4	DNAJB4	Dnajb4
SERTAD4	SERTAD4	Sertad4
TRAM1L1	TRAM1L1	Tram1l1
SCAMP3	SCAMP3	Scamp3
LRRC2	LRRC2	Lrrc2
ANKRD16	ANKRD16	Ankrd16
ANGPTL7	ANGPTL7	Angptl7
ARG2	ARG2	Arg2
FAM118B	FAM118B	Fam118b
ADK	ADK	Adk
STOML2	STOML2	Stoml2
COPS5	COPS5	Cops5
RBFOX3	RBFOX3	Rbfox3
BHLHE22	BHLHE22	Bhlhe22
DNMT3L	DNMT3L	Dnmt3l
MARCH9	None	March9
ART3	ART3	Art3
RPP40	RPP40	Rpp40
PCGF2	PCGF2	Pcgf2
FHL1	FHL1	Fhl1
KRTAP10-4	None	None
GPR52	None	Gpr52
AMZ2	AMZ2	Amz2
SLC14A1	SLC14A1	Slc14a1
CAPG	CAPG	Capg
ACTRT1	ACTRT1	Actrt1
HCAR2	None	Hcar2
ZNF707	ZNF707	Zfp707
MYBPHL	MYBPHL	Mybphl
S1PR2	S1PR2	S1pr2
ANXA2	ANXA2	Anxa2
F2RL3	F2RL3	F2rl3
PLEKHS1	PLEKHS1	Plekhs1
LPAR2	LPAR2	Lpar2
ATP6AP2	ATP6AP2	Atp6ap2
ZNF669	ZNF669	Gm14403
ABHD6	ABHD6	Abhd6
PHYHIP	PHYHIP	Phyhip
PALM	PALM	Palm
BTNL3	None	None
AHSA1	AHSA1	Ahsa1
PAK1IP1	PAK1IP1	Pak1ip1
NECAB2	NECAB2	Necab2
CDK10	CDK10	Cdk10
PON2	PON2	Pon2
CCNG2	CCNG2	Ccng2
ZSCAN16	ZSCAN16	None
CTSW	CTSW	Ctsw
CCR10	CCR10	Ccr10
TMEM115	TMEM115	Tmem115
WDR5	WDR5	Wdr5
TSPYL6	TSPYL6	None
FAM50A	FAM50A	Fam50a
FCRL1	FCRL1	Fcrl1
FFAR4	FFAR4	Ffar4
HOMER1	HOMER1	Homer1
NDRG4	None	Ndrg4
GMPR2	GMPR2	Gmpr2
ATOH1	ATOH1	Atoh1
UBE2Q2	None	Ube2q2
TADA1	TADA1	Tada1
KLF2	KLF2	Klf2
POLR1C	POLR1C	Polr1c
METTL24	METTL24	Mettl24
LBP	LBP	Lbp
TDP2	TDP2	Tdp2
DMRTC2	DMRTC2	Dmrtc2
TCEA3	TCEA3	Tcea3
TIMM50	TIMM50	Timm50
ABHD4	ABHD4	Abhd4
SRSF6	SRSF6	Srsf6
AMMECR1	AMMECR1	Ammecr1
AMD1	AMD1	Amd1
RGL4	None	None
ST3GAL6	ST3GAL6	St3gal6
TMOD2	TMOD2	Tmod2
ASAH1	ASAH1	Asah1
RSPH3	RSPH3	None
SLC2A4RG	SLC2A4RG	None
NFKBIE	NFKBIE	Nfkbie
TNFRSF25	TNFRSF25	Tnfrsf25
EI24	EI24	Ei24
GALR3	GALR3	Galr3
C2CD4C	None	C2cd4c
LIMS1	LIMS1	Lims1
LSM11	LSM11	Lsm11
CATSPER3	CATSPER3	Catsper3
RABGGTB	RABGGTB	Rabggtb
SETD7	SETD7	Setd7
CA10	CA10	Car10
PGLYRP4	PGLYRP4	Pglyrp4
HMX3	HMX3	Hmx3
SIGLEC9	SIGLEC9	Siglece
FAM90A5P	None	4932442L08Rik
None	None	None
TMEM144	TMEM144	Tmem144
LPAR3	LPAR3	Lpar3
PRKACB	PRKACB	Prkacb
BARHL2	BARHL2	Barhl2
RABEPK	RABEPK	Rabepk
B3GALT1	B3GALT1	B3galt1
DOK6	DOK6	Dok6
LTB4R2	LTB4R2	Ltb4r2
LRTM2	LRTM2	Lrtm2
HOXA1	HOXA1	Hoxa1
ADA	ADA	Ada
ZNF552	ZNF552	None
MAP2K3	MAP2K3	Map2k3
KCNK1	KCNK1	Kcnk1
ENTPD5	None	Entpd5
TFAP4	TFAP4	Tfap4
ANKRD61	ANKRD61	Ankrd61
CCDC97	CCDC97	Ccdc97
APMAP	APMAP	Apmap
TSSK2	TSSK2	Tssk2
HAUS8	HAUS8	Haus8
ELMOD1	ELMOD1	Elmod1
CHPT1	CHPT1	Chpt1
ARFIP2	ARFIP2	Arfip2
ACPP	None	Acpp
PBX4	PBX4	None
ZCCHC4	None	Zcchc4
NKX2-4	NKX2-4	Nkx2-4
CRYZL1	CRYZL1	Cryzl1
SEPT3	None	Sept3
POU4F3	None	Pou4f3
CDC123	CDC123	Cdc123
OPCML	OPCML	Opcml
ADH1B	None	Adh1
FAM185A	FAM185A	Fam185a
B3GNT6	B3GNT6	B3gnt6
SEPT1	None	Sept1
CENPU	None	Cenpu
C9orf50	None	1700001O22Rik
MRPS5	ZNF514	Mrps5
SULT2B1	SULT2B1	Sult2b1
SSTR5	SSTR5	Sstr5
TBPL2	TBPL2	Tbpl2
PRPF18	PRPF18	Prpf18
CDC37L1	CDC37L1	Cdc37l1
SHISA8	SHISA8	Shisa8
SLC35C1	SLC35C1	Slc35c1
BECN2	None	Becn2
SNRNP48	SNRNP48	Snrnp48
HAO2	HAO2	Hao2
EPHX3	EPHX3	Ephx3
ADAP1	None	Adap1
DHDDS	DHDDS	Dhdds
GBP2	None	None
EPT1	None	Ept1
WDR73	WDR73	Wdr73
RSAD2	RSAD2	Rsad2
OSGEP	OSGEP	Osgep
FOSB	FOSB	Fosb
LSAMP	LSAMP	Lsamp
HS1BP3	HS1BP3	Hs1bp3
CEBPB	CEBPB	Cebpb
ANHX	ANHX	None
NDEL1	NDEL1	Ndel1
PAQR7	PAQR7	Paqr7
SETD8	None	Setd8
ADAT3	ADAT3	Adat3
ZNHIT2	ZNHIT2	Znhit2
MTFMT	MTFMT	Mtfmt
DUSP11	DUSP11	Dusp11
RAX	RAX	Rax
RBM4	None	Rbm4
P2RY10	P2RY10	P2ry10
HSD3B1	None	Hsd3b3
TRMT10C	TRMT10C	Trmt10c
NR1I3	NR1I3	Nr1i3
PPP1R8	PPP1R8	Ppp1r8
LDHB	LDHB	Ldhb
PAX9	PAX9	Pax9
UGT1A3	None	Ugt1a5
MAPK13	MAPK13	Mapk13
SFTPD	SFTPD	Sftpd
GOLGA8S	None	None
APOA5	APOA5	Apoa5
BMI1	BMI1	Bmi1
STX18	STX18	Stx18
STEAP1	STEAP1	Steap1
LRRC75A	FAM211A	Lrrc75a
BUB3	BUB3	Bub3
CNR2	CNR2	Cnr2
SAGE1	SAGE1	None
WBP1L	WBP1L	Wbp1l
ABHD5	ABHD5	Abhd5
CXADR	CXADR	Cxadr
ZNF85	None	None
GALK1	GALK1	Galk1
RNF167	RNF167	Rnf167
SIAH2	SIAH2	Siah2
GPR20	GPR20	Gpr20
CERS1	CERS1	Cers1
NTM	NTM	Ntm
RAB3IL1	RAB3IL1	Rab3il1
POPDC2	POPDC2	Popdc2
PSAT1	PSAT1	Psat1
GPR62	GPR62	Gpr62
None	CFAP99	Cfap99
HTR3C	HTR3C	None
CALHM1	CALHM1	Calhm1
CD14	CD14	Cd14
ST6GALNAC6	ST6GALNAC6	St6galnac6
LIX1L	LIX1L	Lix1l
PPP1CA	PPP1CA	Ppp1ca
RRH	RRH	Rrh
RRP1	RRP1	Rrp1
LRRC19	LRRC19	Lrrc19
SLC25A37	SLC25A37	Slc25a37
PPP1CB	PPP1CB	Ppp1cb
P2RY12	P2RY12	P2ry12
B3GALNT1	B3GALNT1	B3galnt1
EIF3I	EIF3I	Eif3i
YOD1	YOD1	Yod1
CXCR2	None	Cxcr2
HEY2	HEY2	Hey2
RNF113A	RNF113A	Rnf113a2
MAP2K6	MAP2K6	Map2k6
HOXC10	HOXC10	Hoxc10
BHLHE40	None	Bhlhe40
CCDC89	CCDC89	Ccdc89
RBM48	RBM48	Rbm48
ZACN	ZACN	None
TCF7	TCF7	Tcf7
MBNL2	MBNL2	Mbnl2
ST3GAL1	ST3GAL1	St3gal1
GMPR	GMPR	Gmpr
DNAJB1	DNAJB1	Dnajb1
MAB21L3	MAB21L3	None
ATF4	ATF4	Atf4
FUT1	FUT1	Fut1
SSTR2	SSTR2	Sstr2
HSD17B2	HSD17B2	Hsd17b2
GPR26	GPR26	Gpr26
TEX28	None	Tex28
AMDHD2	None	Amdhd2
ADRB3	None	Adrb3
None	None	Gm34653
DOK4	DOK4	Dok4
ISG20L2	ISG20L2	Isg20l2
STK19	STK19	Stk19
FCRL4	FCRL4	None
COQ2	COQ2	Coq2
TMOD3	TMOD3	Tmod3
FANCG	None	Fancg
RIC3	RIC3	Ric3
SERPINA3	SERPINA3	Serpina3n
FNTA	None	Fnta
DKK3	DKK3	Dkk3
SUCLG1	SUCLG1	Suclg1
CDC42EP4	CDC42EP4	Cdc42ep4
GPR82	GPR82	Gpr82
SPATA22	SPATA22	Spata22
PDCD2L	PDCD2L	Pdcd2l
USP18	USP18	Usp18
ANKRD2	ANKRD2	Ankrd2
DPH1	None	Dph1
PABPC4L	PABPC4L	Pabpc4l
CCDC34	CCDC34	Ccdc34
NODAL	NODAL	Nodal
RFX8	None	Rfx8
TMOD1	TMOD1	Tmod1
ADH1A	ADH1A	None
SHARPIN	SHARPIN	Sharpin
VPS26B	VPS26B	Vps26b
EFNB3	EFNB3	Efnb3
MAFA	MAFA	Mafa
FRRS1L	FRRS1L	Frrs1l
SYNE4	SYNE4	Syne4
TTPAL	TTPAL	Ttpal
AADACL3	AADACL3	Aadacl3
CLVS2	CLVS2	Clvs2
MLST8	MLST8	Mlst8
MEST	MEST	Mest
GPS2	GPS2	Gps2
HPDL	HPDL	Hpdl
LPAR5	LPAR5	Lpar5
CGRRF1	CGRRF1	Cgrrf1
MAFB	MAFB	Mafb
VWC2	VWC2	Vwc2
SCRN1	SCRN1	Scrn1
OAS1	OAS1	Oas1a
FUT5	FUT5	None
TRIM44	TRIM44	Trim44
SH2D2A	SH2D2A	Sh2d2a
C9orf91	C9orf91	None
VPS26A	VPS26A	Vps26a
ACADL	None	Acadl
GPD1	GPD1	Gpd1
KLHDC9	KLHDC9	Klhdc9
SLC30A8	SLC30A8	Slc30a8
ST6GALNAC5	ST6GALNAC5	St6galnac5
CYP39A1	CYP39A1	Cyp39a1
NME7	NME7	Nme7
OTULIN	None	Otulin
PAQR6	PAQR6	Paqr6
AVPR2	AVPR2	Avpr2
TMEM30B	TMEM30B	Tmem30b
FAXDC2	None	Gm12248
GORAB	GORAB	Gorab
MAGT1	MAGT1	Magt1
C19orf67	None	None
GDE1	GDE1	Gde1
METTL18	METTL18	Mettl18
CTSB	CTSB	Ctsb
TMEM129	TMEM129	Tmem129
TFEC	TFEC	Tfec
E2F5	E2F5	E2f5
RFC5	RFC5	Rfc5
HIBADH	HIBADH	Hibadh
FOXB1	FOXB1	Foxb1
SUDS3	SUDS3	Suds3
TMEM120B	TMEM120B	Tmem120b
MRGPRF	MRGPRF	Mrgprf
RAD51	RAD51	Rad51
EFNB2	EFNB2	Efnb2
SERPINA2	None	None
MOAP1	MOAP1	Moap1
ELAVL1	ELAVL1	Elavl1
SLC10A7	SLC10A7	Slc10a7
SLC25A40	SLC25A40	Slc25a40
A4GALT	A4GALT	A4galt
MUC17	None	Muc3
LMNTD1	None	Ifltd1
GFI1B	GFI1B	Gfi1b
IVL	IVL	Ivl
LDHAL6B	LDHAL6B	Ldhal6b
ZBP1	ZBP1	Zbp1
UNC93A	UNC93A	Gm9992
SNAP47	SNAP47	Snap47
BRMS1L	BRMS1L	Brms1l
EIF3F	EIF3F	Eif3f
MAPRE2	MAPRE2	Mapre2
CAB39L	CAB39L	Cab39l
CTU2	CTU2	Ctu2
USF2	None	Usf2
NFKBIB	NFKBIB	Nfkbib
FAM49A	FAM49A	Fam49a
WNT9B	WNT9B	Wnt9b
MRPS9	MRPS9	Mrps9
UBAC2	UBAC2	Ubac2
IFI44	IFI44	Ifi44
TIGD3	None	Tigd3
MC4R	MC4R	Mc4r
CABS1	CABS1	Cabs1
SLC35E4	SLC35E4	Slc35e4
AMICA1	None	Amica1
BDKRB1	BDKRB1	Bdkrb1
SLC35D1	SLC35D1	Slc35d1
CSNK1A1L	CSNK1A1L	None
GPALPP1	None	Gpalpp1
GATSL2	GATSL2	Gatsl2
PRKAG1	PRKAG1	Prkag1
ADH6	ADH6	Adh6b
SLC35F6	SLC35F6	Slc35f6
TCN1	TCN1	None
TMX4	TMX4	Tmx4
MVK	MVK	Mvk
SNX16	SNX16	Snx16
QPCT	QPCT	Qpct
TWF2	TWF2	Twf2
SH3GL3	SH3GL3	Sh3gl3
CYP20A1	CYP20A1	Cyp20a1
CREB3	CREB3	Creb3
DRAXIN	DRAXIN	Draxin
KLF17	KLF17	Klf17
ZNF696	ZNF696	None
CEP41	CEP41	Cep41
SLC9A3R1	SLC9A3R1	Slc9a3r1
GPR174	GPR174	Gpr174
GRAP2	GRAP2	Grap2
EFNB1	EFNB1	Efnb1
B3GAT1	B3GAT1	B3gat1
None	None	None
GAPDH	GAPDH	Gapdh
YBX1	YBX1	Ybx1
FBXL8	FBXL8	Fbxl8
SFTPB	SFTPB	Sftpb
LEFTY2	None	Lefty2
EIF2S2	EIF2S2	Eif2s2
PON3	PON3	Pon3
NTSR2	NTSR2	Ntsr2
RNF41	RNF41	Rnf41
RNF121	RNF121	Rnf121
TMEM206	None	Tmem206
PRR19	PRR19	Prr19
GALM	GALM	Galm
ZNF391	ZNF391	None
ABHD12B	ABHD12B	Abhd12b
C9orf64	C9orf64	2210016F16Rik
RHBDD3	RHBDD3	Rhbdd3
ZFP36L1	ZFP36L1	Zfp36l1
ZNF330	ZNF330	Zfp330
TCEANC	TCEANC	Tceanc
PON1	PON1	Pon1
MCHR2	MCHR2	None
PCYT2	None	Pcyt2
MBD1	None	Mbd1
LEFTY1	None	Lefty1
NUP35	NUP35	Nup35
GJA4	GJA4	Gja4
UBIAD1	UBIAD1	Ubiad1
HAPLN2	HAPLN2	Hapln2
DCDC2C	None	Dcdc2c
CACNG2	CACNG2	Cacng2
B3GNT4	B3GNT4	B3gnt4
HSDL1	HSDL1	Hsdl1
RCE1	RCE1	Rce1
OPN1SW	OPN1SW	Opn1sw
SPRY2	SPRY2	Spry2
VSX1	VSX1	Vsx1
ACKR4	None	Ackr4
STAP2	STAP2	Stap2
TAAR5	TAAR5	Taar5
CD68	CD68	Cd68
AURKB	AURKB	Aurkb
ADORA1	ADORA1	Adora1
SBK3	None	Sbk3
FRZB	FRZB	Frzb
C1orf141	None	None
MAGEA10	MAGEA10	Magea10
PANX1	PANX1	Panx1
NOXRED1	NOXRED1	Noxred1
NAGK	NAGK	Nagk
HMX1	HMX1	Hmx1
CLN5	CLN5	Cln5
PPP1CC	PPP1CC	Ppp1cc
LGALS9	None	Lgals9
MRPS22	MRPS22	Mrps22
SEPT10	None	Sept10
FBXL12	FBXL12	Fbxl12
CDC42EP1	CDC42EP1	Cdc42ep1
GIPC1	GIPC1	Gipc1
GPR12	GPR12	Gpr12
OTC	OTC	Otc
FEZ2	FEZ2	Fez2
None	None	Cyp4a12b
LUM	LUM	Lum
ELMOD3	ELMOD3	Elmod3
TOB2	TOB2	Tob2
OTP	OTP	Otp
CCDC113	CCDC113	Ccdc113
PDLIM3	PDLIM3	Pdlim3
MTHFD2	MTHFD2	Mthfd2
TMEM26	TMEM26	Tmem26
CTU1	CTU1	Ctu1
C1GALT1C1	C1GALT1C1	C1galt1c1
SARAF	TMEM66	Saraf
PURG	PURG	Purg
KDSR	KDSR	Kdsr
ZNF771	ZNF771	Zfp771
NSUN3	NSUN3	Nsun3
KLRG2	KLRG2	Klrg2
FCRLA	FCRLA	Fcrla
GALT	None	Galt
PGLYRP3	PGLYRP3	Pglyrp3
GPR3	GPR3	Gpr3
IRF1	IRF1	Irf1
None	None	Adam1b
GJD2	GJD2	Gjd2
OXGR1	OXGR1	Oxgr1
CREBZF	CREBZF	Crebzf
MSI2	MSI2	Msi2
TAAR1	TAAR1	Taar1
SLC35B4	SLC35B4	Slc35b4
RHAG	RHAG	Rhag
CTSH	CTSH	Ctsh
SEC13	SEC13	Sec13
LGALS9B	None	None
PTAFR	PTAFR	Ptafr
GHITM	GHITM	Ghitm
ANKRD65	None	Ankrd65
ADPRM	ADPRM	Adprm
C4orf27	C4orf27	None
PARD6A	PARD6A	Pard6a
POLB	POLB	Polb
PDCD2	PDCD2	Pdcd2
CTSK	CTSK	Ctsk
CDK20	CDK20	Cdk20
LPPR1	LPPR1	Lppr1
GLRX3	GLRX3	Glrx3
CX3CR1	CX3CR1	Cx3cr1
PAFAH2	PAFAH2	Pafah2
AMBP	AMBP	Ambp
P2RY14	P2RY14	P2ry14
CREB1	CREB1	Creb1
TNMD	TNMD	Tnmd
FBXW12	FBXW12	Fbxw20
CCER1	CCER1	Ccer1
LUZP2	LUZP2	Luzp2
NEUROD4	NEUROD4	Neurod4
ZPBP	ZPBP	Zpbp
GAS1	GAS1	Gas1
ZNF212	None	Zfp212
ETNK2	ETNK2	Etnk2
ERI1	ERI1	Eri1
TMEM173	TMEM173	Tmem173
RCCD1	RCCD1	Rccd1
TWISTNB	TWISTNB	Twistnb
SLC10A1	SLC10A1	Slc10a1
FANCF	FANCF	Fancf
GNB2L1	GNB2L1	Gnb2l1
CACUL1	CACUL1	Cacul1
FOSL2	FOSL2	Fosl2
PARL	None	Parl
SIGLEC6	SIGLEC6	None
MDH1	MDH1	Mdh1
C9orf156	None	None
RPRD1B	RPRD1B	Rprd1b
SCD	SCD	Scd1
PNCK	PNCK	Pnck
FAM49B	None	Fam49b
BABAM1	BABAM1	Babam1
GPR171	GPR171	Gpr171
HOXC13	HOXC13	Hoxc13
WDR54	WDR54	Wdr54
FAM131A	FAM131A	Fam131a
TSKU	TSKU	Tsku
AKR1A1	AKR1A1	Akr1a1
SCD5	SCD5	None
DNASE2	DNASE2	Dnase2a
OPRD1	None	Oprd1
RPUSD4	RPUSD4	Rpusd4
JUND	JUND	Jund
JUN	JUN	Jun
YIPF3	YIPF3	Yipf3
FAIM3	None	Faim3
SIRPG	SIRPG	Sirpb1a
SAC3D1	SAC3D1	Sac3d1
HCAR1	HCAR1	Hcar1
SLC10A2	SLC10A2	Slc10a2
INHA	INHA	Inha
GDF1	GDF1	Gdf1
IGFBP2	IGFBP2	Igfbp2
ZIC4	ZIC4	Zic4
LDHA	LDHA	Ldha
ZNF645	None	None
BARHL1	BARHL1	Barhl1
CYSLTR1	CYSLTR1	Cysltr1
EME2	EME2	Eme2
GPR160	GPR160	Gpr160
TMEM25	TMEM25	Tmem25
IQCG	IQCG	Iqcg
MPPED1	None	Mpped1
RAD51B	RAD51B	Rad51b
RIBC2	RIBC2	Ribc2
APOH	None	Apoh
SHOX2	SHOX2	Shox2
FPR2	None	Fpr2
FAM43A	None	Fam43a
EIF3G	EIF3G	Eif3g
KCTD12	KCTD12	Kctd12
LRPAP1	LRPAP1	Lrpap1
LCMT1	LCMT1	Lcmt1
SORD	SORD	Sord
CBX8	CBX8	None
LECT1	LECT1	Lect1
TMEM68	TMEM68	Tmem68
XRCC3	XRCC3	Xrcc3
B4GALT2	B4GALT2	B4galt2
MOS	MOS	Mos
C2CD4D	C2CD4D	C2cd4d
MRPL3	MRPL3	Mrpl3
COQ3	COQ3	Coq3
SNX15	SNX15	Snx15
MCL1	MCL1	Mcl1
UGT1A4	None	Ugt1a2
EXTL2	EXTL2	Extl2
KCTD13	KCTD13	Kctd13
ASB7	ASB7	Asb7
TCF19	TCF19	Tcf19
RCN3	None	Rcn3
PAQR3	PAQR3	Paqr3
VGLL3	VGLL3	Vgll3
GPR25	GPR25	Gpr25
AKR1D1	AKR1D1	Akr1d1
LILRA1	LILRA1	Gm14548
IGBP1	IGBP1	Igbp1
PDLIM1	PDLIM1	Pdlim1
CASP1	CASP1	Casp1
MOXD2P	None	Moxd2
C19orf54	None	BC024978
FBXO8	FBXO8	Fbxo8
PRPS1	PRPS1	Prps1
PURA	PURA	Pura
GPM6B	GPM6B	Gpm6b
GPR132	GPR132	Gpr132
SLC35A1	SLC35A1	Slc35a1
